seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
363,0.05,0.04,0.03,0.01,0.01,1.03,Still
364,0.05,0.05,0.02,0.01,0.01,1.03,Still
365,0.05,0.04,0.04,0.01,0.01,1.04,Still
366,0.05,0.05,0.03,0.01,0.01,1.03,Still
367,0.05,0.04,0.03,0.01,0.01,1.03,Still
368,0.05,0.04,0.04,0.01,0.01,1.04,Still
369,0.06,0.04,0.03,0.01,0.01,1.03,Still
370,0.05,0.04,0.04,0.01,0.01,1.03,Still
371,0.05,0.05,0.04,0.01,0.01,1.03,Still
372,0.06,0.05,0.03,0.01,0.01,1.03,Still
373,0.05,0.05,0.04,0.01,0.01,1.03,Still
374,0.05,0.05,0.03,0.01,0.01,1.03,Still
375,0.05,0.04,0.03,0.01,0.01,1.03,Still
376,0.05,0.04,0.04,0.01,0.01,1.03,Still
377,0.06,0.04,0.04,0.01,0.01,1.03,Still
378,0.05,0.05,0.04,0.01,0.01,1.03,Still
379,0.06,0.04,0.03,0.01,0.01,1.03,Still
380,0.05,0.04,0.03,0.01,0.01,1.03,Still
381,0.06,0.05,0.03,0.01,0.01,1.03,Still
382,0.05,0.04,0.04,0.01,0.01,1.03,Still
383,0.05,0.05,0.04,0.01,0.01,1.03,Still
384,0.06,0.05,0.05,0.01,0.01,1.03,Still
385,0.05,0.04,0.03,0.01,0.01,1.04,Still
386,0.06,0.04,0.03,0.01,0.01,1.03,Still
387,0.05,0.05,0.03,0.01,0.01,1.03,Still
388,0.06,0.05,0.03,0.01,0.01,1.03,Still
389,0.06,0.06,0.04,0.01,0.01,1.03,Still
390,0.06,0.05,0.03,0.01,0.01,1.03,Still
391,0.05,0.05,0.04,0.01,0.01,1.03,Still
392,0.06,0.04,0.03,0.01,0.01,1.03,Still
393,0.06,0.05,0.04,0.01,0.01,1.03,Still
394,0.05,0.04,0.03,0.01,0.01,1.03,Still
395,0.05,0.05,0.03,0.01,0.01,1.03,Still
396,0.06,0.05,0.03,0.01,0.01,1.03,Still
397,0.05,0.04,0.04,0.01,0.01,1.03,Still
398,0.05,0.05,0.03,0.01,0.01,1.03,Still
399,0.06,0.04,0.04,0.01,0.01,1.03,Still
400,0.06,0.05,0.03,0.01,0.01,1.03,Still
401,0.06,0.04,0.03,0.01,0.01,1.03,Still
402,0.05,0.04,0.03,0.01,0.01,1.03,Still
403,0.05,0.04,0.04,0.01,0.01,1.03,Still
404,0.06,0.05,0.04,0.01,0.01,1.03,Still
405,0.05,0.05,0.04,0.01,0.01,1.03,Still
406,0.05,0.04,0.03,0.01,0.01,1.03,Still
407,0.05,0.05,0.04,0.01,0.01,1.03,Still
408,0.06,0.05,0.03,0.01,0.01,1.03,Still
409,0.06,0.05,0.03,0.01,0.01,1.03,Still
410,0.05,0.05,0.04,0.01,0.01,1.03,Still
411,0.05,0.04,0.04,0.01,0.01,1.03,Still
412,0.05,0.05,0.04,0.01,0.01,1.03,Still
413,0.05,0.04,0.04,0.01,0.01,1.03,Still
414,0.06,0.04,0.03,0.01,0.01,1.04,Still
415,0.06,0.04,0.04,0.01,0.01,1.03,Still
416,0.05,0.03,0.04,0.01,0.01,1.03,Still
417,0.05,0.05,0.03,0.01,0.01,1.03,Still
418,0.05,0.05,0.04,0.01,0.01,1.03,Still
419,0.04,0.04,0.03,0.01,0.02,1.03,Still
420,0.04,0.04,0.04,0.01,0.01,1.03,Still
421,0.05,0.05,0.04,0.01,0.01,1.03,Still
422,0.05,0.06,0.03,0.01,0.01,1.03,Still
423,0.05,0.05,0.03,0.01,0.01,1.03,Still
424,0.06,0.04,0.03,0.01,0.01,1.03,Still
425,0.05,0.04,0.03,0.01,0.01,1.03,Still
426,0.05,0.05,0.03,0.01,0.01,1.03,Still
427,0.05,0.04,0.03,0.01,0.01,1.03,Still
428,0.04,0.05,0.03,0.01,0.01,1.03,Still
429,0.06,0.04,0.03,0.01,0.01,1.03,Still
430,0.05,0.05,0.04,0.01,0.01,1.03,Still
431,0.05,0.05,0.03,0.01,0.01,1.03,Still
432,0.05,0.04,0.03,0.01,0.01,1.03,Still
433,0.05,0.04,0.03,0.01,0.01,1.03,Still
434,0.05,0.04,0.04,0.01,0.01,1.03,Still
435,0.05,0.04,0.04,0.01,0.01,1.03,Still
436,0.05,0.05,0.04,0.01,0.01,1.03,Still
437,0.06,0.05,0.03,0.01,0.01,1.03,Still
438,0.05,0.04,0.04,0.01,0.01,1.03,Still
439,0.05,0.05,0.03,0.01,0.01,1.03,Still
440,0.06,0.04,0.03,0.01,0.01,1.03,Still
441,0.05,0.05,0.03,0.01,0.01,1.03,Still
442,0.06,0.05,0.04,0.01,0.01,1.03,Still
443,0.05,0.04,0.03,0.01,0.01,1.03,Still
444,0.06,0.04,0.04,0.01,0.01,1.03,Still
445,0.05,0.05,0.03,0.01,0.01,1.03,Still
446,0.05,0.04,0.04,0.01,0.01,1.04,Still
447,0.06,0.04,0.02,0.01,0.01,1.03,Still
448,0.04,0.05,0.05,0.01,0.01,1.03,Still
449,0.06,0.05,0.03,0.01,0.01,1.03,Still
450,0.05,0.04,0.04,0.01,0.01,1.03,Still
451,0.05,0.05,0.03,0.01,0.01,1.03,Still
452,0.05,0.05,0.04,0.01,0.01,1.03,Still
453,0.06,0.05,0.04,0.01,0.01,1.03,Still
454,0.04,0.04,0.04,0.01,0.01,1.03,Still
455,0.05,0.05,0.04,0.01,0.01,1.03,Still
456,0.05,0.04,0.03,0.01,0.01,1.03,Still
457,0.05,0.04,0.04,0.01,0.01,1.03,Still
458,0.05,0.06,0.03,0.01,0.01,1.03,Still
459,0.06,0.04,0.03,0.01,0.01,1.04,Still
460,0.04,0.04,0.04,0.01,0.01,1.03,Still
461,0.04,0.05,0.03,0.01,0.01,1.03,Still
462,0.06,0.04,0.03,0.01,0.01,1.03,Still
463,0.06,0.05,0.04,0.01,0.01,1.03,Still
464,0.05,0.06,0.03,0.01,0.01,1.03,Still
