seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
262,0.06,0.05,0.03,0.01,-0,1.03,sideways
263,0.05,0.04,0.03,0.01,-0,1.03,sideways
264,0.05,0.05,0.03,0.01,-0,1.03,sideways
265,0.04,0.04,0.13,0.08,-0.01,1.02,sideways
266,0.05,0.07,0.17,0.1,-0.01,1.02,sideways
267,0.07,0.09,-0.13,0.16,-0.02,1.03,sideways
268,0.05,0.08,0.28,0.15,-0.02,1.01,sideways
269,0.01,0.13,-0.51,0.14,0.03,0.98,sideways
270,0.04,0.06,-0.28,0.12,0.02,1.02,sideways
271,0,0.05,-0.11,-0.05,0.1,1.02,sideways
272,0.04,0.02,-0.28,0.01,0,1.05,sideways
273,-0,0.03,-0.39,-0.05,-0.11,1.33,sideways
274,0.07,0.03,0.5,-0.14,-0.04,1.16,sideways
275,0.04,0,-0.76,-0.1,-0.03,1.09,sideways
276,0.08,0.04,0.01,-0.11,0.01,1.07,sideways
277,0.06,0.04,0.26,-0.1,-0.03,1.05,sideways
278,0.06,0.05,0.04,-0.03,-0.01,1.04,sideways
279,0.05,0.04,0.07,-0.01,-0.01,1.03,sideways
280,0.06,0.06,0.12,0.03,-0,1.03,sideways
281,0.06,0.05,0.04,0.02,-0,1.03,sideways
282,0.06,0.04,0.03,0.01,-0,1.03,sideways
283,0.05,0.05,0.04,0.01,-0,1.02,sideways
284,0.05,0.04,0.04,0.01,-0,1.03,sideways
285,0.06,0.04,0.04,0.01,0,1.03,sideways
286,0.06,0.04,0.15,0.02,-0.01,1.02,sideways
287,0.06,0.04,0.11,0,-0,1.03,sideways
288,0.05,0.06,0.11,-0.04,0,1.03,sideways
289,0.05,0.05,-0.1,-0.08,-0.01,1.04,sideways
290,0.08,0.04,-0.01,-0.11,-0.02,1.05,sideways
291,0.09,0.05,0.09,-0.14,0.01,1.06,sideways
292,0.06,0.06,0.38,-0.08,0.02,1,sideways
293,0.09,0.1,0.61,0.06,0.07,0.84,sideways
294,0.05,-0.07,0.46,0.16,0.07,0.74,sideways
295,0.07,0.05,0.5,0.02,-0.01,0.94,sideways
296,0.04,0.04,0.54,0.1,-0.01,1,sideways
297,0.06,0.05,0.65,0.19,-0.06,1.02,sideways
298,0.05,0.02,0.31,0.19,-0.04,1.03,sideways
299,0.07,0.02,0.03,0.17,-0.02,1.03,sideways
300,0.05,0.03,-0.04,0.14,0,1.03,sideways
301,0.05,0.04,0.03,0.05,-0,1.03,sideways
302,0.05,0.05,-0.03,0.03,0,1.03,sideways
303,0.05,0.05,0.03,0.02,-0,1.02,sideways
304,0.06,0.05,0.04,0.01,-0,1.02,sideways
305,0.05,0.04,0.03,0.01,-0,1.02,sideways
306,0.05,0.05,0.04,0.01,-0,1.02,sideways
307,0.05,0.04,0.03,0.01,-0,1.02,sideways
308,0.05,0.04,0.04,0.01,0,1.03,sideways
309,0.06,0.05,0.04,0.01,-0,1.03,sideways
310,0.06,0.04,0.03,-0.01,-0,1.03,sideways
311,0.06,0.03,0.03,0,-0,1.03,sideways
312,0.07,0.05,-0.01,-0.01,-0.01,1.03,sideways
313,0.08,0.06,-0.2,0.05,0.03,1,sideways
314,0.04,0.05,-0.1,0.13,-0.01,1.01,sideways
315,0.05,0.07,-0.44,0.13,-0.01,1.04,sideways
316,0.07,0.04,-0.2,0.15,0.01,1.03,sideways
317,0.08,0.05,0.19,0.21,-0.03,1.04,sideways
318,0.04,0.09,-0.43,0.15,-0.06,0.96,sideways
