seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
1374,0.06,0.02,0.07,-0,0.02,0.96,90degRot
1375,0.06,0.04,0.04,0.01,0,1.01,90degRot
1376,0.07,0.03,0.05,-0.01,0.01,1.03,90degRot
1377,0.18,0.02,0.52,-0.02,0.01,1.03,90degRot
1378,0.03,-1.25,0.65,-0.05,-0.01,1.1,90degRot
1379,-0.03,-2.31,0.13,0,-0.02,1.08,90degRot
1380,0.05,-3.13,0.33,0.06,0.01,1.04,90degRot
1381,-0.03,-3.41,0.03,0.2,-0.16,1.22,90degRot
1382,-0.03,-3.79,-0.14,0.22,-0.05,1.08,90degRot
1383,0.16,-4.02,0.4,0.24,0.01,1.04,90degRot
1384,0.15,-5.81,0.32,0.34,-0.03,0.96,90degRot
1385,-0.03,-6.47,0,0.43,-0,0.88,90degRot
1386,-0.02,-6.87,0.01,0.56,-0.01,0.76,90degRot
1387,0.01,-6.06,0.06,0.73,-0.01,0.61,90degRot
1388,0.01,-4.83,0.03,0.81,-0.02,0.53,90degRot
1389,0,-3.99,0.01,0.85,-0.01,0.48,90degRot
1390,0.03,-3.17,0.04,0.91,-0.01,0.41,90degRot
1391,-0.56,-3.63,-0.19,0.88,0.02,0.37,90degRot
1392,-0.82,-3.75,-0.18,0.95,-0.02,0.27,90degRot
1393,-0.43,-3.45,-0.04,0.99,-0.02,0.2,90degRot
1394,-0.1,-2.36,0.03,0.97,-0.01,0.16,90degRot
1395,-0.12,-2.58,0.03,0.98,-0.03,0.08,90degRot
1396,0.25,-2.02,0.04,0.98,-0.02,0.03,90degRot
1397,0.56,-0.03,0.05,0.95,-0.08,0.19,90degRot
1398,0.29,0.04,0.03,0.98,-0.02,0.04,90degRot
1399,0.05,0.07,0.04,0.98,-0.02,0.01,90degRot
1400,0.02,0.12,0.01,0.99,-0.02,-0,90degRot
1401,-0.09,1.03,0.05,1.07,-0.03,-0.06,90degRot
1402,0.07,2.63,0.04,1.05,-0.03,-0.04,90degRot
1403,-0.32,3.69,0.02,1.01,0,0.02,90degRot
1404,-0.63,4.2,-0.09,1,-0.02,0.11,90degRot
1405,-0.39,5.07,-0.08,0.96,-0.03,0.2,90degRot
1406,-0.6,4.81,-0.23,0.91,-0.01,0.32,90degRot
1407,-0.33,5.16,-0.2,0.88,-0.03,0.41,90degRot
1408,0.1,6.04,0.03,0.79,-0.03,0.52,90degRot
1409,0.13,5.7,0.07,0.74,-0.03,0.6,90degRot
1410,0.12,6,0.04,0.7,-0.03,0.65,90degRot
1411,0.12,6.67,0.03,0.55,-0.02,0.78,90degRot
1412,0.25,5.62,0.3,0.44,0,0.87,90degRot
1413,0.25,5.95,0.38,0.35,0,0.91,90degRot
1414,0.15,4.84,0.21,0.21,0,1,90degRot
1415,0.36,4.61,1.38,0.16,-0,1.02,90degRot
1416,0.14,4.02,0.65,0.07,-0.04,1.05,90degRot
1417,0,0.03,0.06,-0.15,-0.02,1.14,90degRot
1418,0.09,0,0.09,-0.03,-0,1.06,90degRot
1419,0.05,0.04,0.02,0.01,-0,1.03,90degRot
1420,0.06,0.04,0.05,0.01,-0,1.03,90degRot
1421,0.19,-0.04,0.16,-0.01,0,1.04,90degRot
1422,0.1,-2.01,0.25,-0.03,-0,1.07,90degRot
1423,0.01,-3.14,0.07,0.02,-0.02,1.07,90degRot
1424,-0.02,-3.91,-0.18,0.11,-0.01,1.03,90degRot
1425,-0.08,-4.13,-0.15,0.18,0,1,90degRot
1426,-0.01,-4.13,0.06,0.28,-0.01,0.94,90degRot
1427,-0.09,-4.42,-0.15,0.33,-0.02,0.95,90degRot
1428,-0.25,-5.7,-0.37,0.41,-0.02,0.91,90degRot
1429,-0.43,-6.13,-0.49,0.52,0.02,0.81,90degRot
1430,-0.17,-6.18,-0.13,0.66,-0,0.67,90degRot
1431,-0.1,-5.48,-0.04,0.75,-0.01,0.58,90degRot
1432,0.15,-4.37,0.11,0.83,-0.04,0.5,90degRot
1433,0.11,-3.93,0.06,0.88,-0.01,0.43,90degRot
1434,0.01,-3.38,0.04,0.95,-0,0.34,90degRot
