seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
372,-0.28,0.12,-0.12,0.01,0.15,0.8,UpDown
373,-0.41,0.54,-0.26,0.02,0.13,0.91,UpDown
374,-0.4,0.3,-0.43,0.03,0.13,0.9,UpDown
375,-1.06,0.53,-0.58,-0.01,0.1,1.03,UpDown
376,-0.56,0.56,-0.46,-0.02,0.08,1.1,UpDown
377,0.06,0.27,-0.4,-0.05,0.09,1.12,UpDown
378,-0.16,0.11,-0.2,-0.09,0.1,1.13,UpDown
379,-0.39,0.31,-0.23,-0.08,0.09,1.13,UpDown
380,-0.13,0.06,-0.16,-0.1,0.08,1.21,UpDown
381,-0.26,0.31,0.03,-0.09,0.09,1.17,UpDown
382,0.32,-0.03,0.13,-0.08,0.09,1.11,UpDown
383,-0.04,0.09,0.13,-0.07,0.09,1.08,UpDown
384,-0.05,0.08,0.06,-0.06,0.08,1.05,UpDown
385,0.12,-0.12,0.11,-0.06,0.08,1.04,UpDown
386,0.03,-0.04,0.08,-0.05,0.07,1.03,UpDown
387,-0.06,0.13,0.05,-0.06,0.07,1.02,UpDown
388,-0.05,0.11,0.07,-0.06,0.07,1.04,UpDown
389,0.08,-0.01,0.1,-0.06,0.07,1.02,UpDown
390,0.03,0.09,0.09,-0.06,0.07,1.03,UpDown
391,-0.02,0.12,0.1,-0.05,0.07,1.04,UpDown
392,0.11,0.05,0.07,-0.06,0.07,1.07,UpDown
393,0.2,0.09,0.04,-0.06,0.07,1.08,UpDown
394,0.11,0.08,0.1,-0.07,0.06,1.13,UpDown
395,0.46,0.03,0.18,-0.08,0.09,1.11,UpDown
396,0.26,0.23,0.12,-0.08,0.09,1.15,UpDown
397,0.16,0.25,0.19,-0.08,0.1,1.14,UpDown
398,0.46,-0.25,0.22,-0.09,0.1,1.1,UpDown
399,0.19,0.09,0.23,-0.07,0.1,1.1,UpDown
400,0.75,-0.21,0.24,-0.05,0.1,1.04,UpDown
401,0.54,-0.03,0.2,-0.03,0.11,0.97,UpDown
402,0.46,-0.09,0.18,-0.07,0.11,0.95,UpDown
403,0.5,-0.33,0.14,-0.03,0.11,0.96,UpDown
404,0.31,-0.1,0.06,-0.02,0.12,0.93,UpDown
405,0.44,0.08,0.02,-0.03,0.13,0.92,UpDown
406,0.31,-0.22,0.1,-0.04,0.13,0.96,UpDown
407,0.18,0.04,0.13,-0.04,0.16,0.91,UpDown
408,0.1,0.16,0.06,-0.03,0.17,0.9,UpDown
409,-0.06,0.04,0.14,-0.04,0.16,0.94,UpDown
410,-0.17,0.12,0.05,-0.02,0.16,0.97,UpDown
411,-0.13,-0.06,0.02,-0.02,0.15,1.02,UpDown
412,-0.08,0.17,0.03,-0.04,0.14,1.05,UpDown
413,-0.06,0.07,0.02,-0.04,0.16,1.01,UpDown
